horodatage;code_http;duree_ms;serveur
2026-09-21T16:26:37.565;200;15;web2
2026-09-21T16:26:37.864;200;15;web1
2026-09-21T16:26:38.184;200;25;web2
2026-09-21T16:26:38.415;200;3;web1
2026-09-21T16:26:38.653;200;8;web2
2026-09-21T16:26:38.897;200;8;web1
2026-09-21T16:26:39.129;200;3;web2
2026-09-21T16:26:39.363;200;4;web1
2026-09-21T16:26:39.600;200;6;web2
2026-09-21T16:26:39.837;200;8;web1
2026-09-21T16:26:40.078;200;8;web2
2026-09-21T16:26:40.369;200;12;web1
2026-09-21T16:26:40.668;200;14;web2
2026-09-21T16:26:40.990;200;20;web1
2026-09-21T16:26:41.290;200;19;web2
2026-09-21T16:26:41.588;200;15;web1
2026-09-21T16:26:41.914;200;17;web2
2026-09-21T16:26:42.226;200;17;web1
2026-09-21T16:26:42.544;200;19;web2
2026-09-21T16:26:42.839;200;18;web1
2026-09-21T16:26:44.174;200;1029;web1
2026-09-21T16:26:44.481;200;15;web2
2026-09-21T16:26:44.788;200;18;web1
2026-09-21T16:26:45.086;200;12;web2
2026-09-21T16:26:45.390;200;19;web1
2026-09-21T16:26:45.710;200;18;web2
2026-09-21T16:26:45.995;200;8;web1
2026-09-21T16:26:46.301;200;22;web2
2026-09-21T16:26:46.599;200;12;web1
2026-09-21T16:26:46.894;200;16;web2
2026-09-21T16:26:47.185;200;11;web1
2026-09-21T16:26:47.476;200;12;web2
2026-09-21T16:26:47.804;200;27;web1
2026-09-21T16:26:48.105;200;13;web2
2026-09-21T16:26:48.415;200;16;web1
2026-09-21T16:26:48.714;200;14;web2
2026-09-21T16:26:49.003;200;8;web1
2026-09-21T16:26:49.310;200;15;web2
2026-09-21T16:26:49.599;200;12;web1
2026-09-21T16:26:49.907;200;19;web2
2026-09-21T16:26:50.230;200;23;web1
2026-09-21T16:26:50.529;200;13;web2
2026-09-21T16:26:50.836;200;21;web1
2026-09-21T16:26:51.086;200;7;web2
2026-09-21T16:26:51.363;200;8;web1
2026-09-21T16:26:51.659;200;13;web2
2026-09-21T16:26:51.942;200;7;web1
2026-09-21T16:26:52.244;200;15;web2
2026-09-21T16:26:52.558;200;17;web1
2026-09-21T16:26:52.864;200;14;web2
2026-09-21T16:26:53.166;200;16;web1
2026-09-21T16:26:53.479;200;15;web2
2026-09-21T16:26:53.770;200;11;web1
2026-09-21T16:26:54.069;200;16;web2
2026-09-21T16:26:54.366;200;13;web1
2026-09-21T16:26:54.661;200;11;web2
2026-09-21T16:26:54.983;200;21;web1
2026-09-21T16:26:55.303;200;18;web2
2026-09-21T16:26:55.596;200;11;web1
2026-09-21T16:26:55.888;200;11;web2
2026-09-21T16:26:56.181;200;13;web1
2026-09-21T16:26:56.462;200;8;web2
2026-09-21T16:26:56.778;200;21;web1
2026-09-21T16:26:57.075;200;12;web2
2026-09-21T16:26:57.364;200;10;web1
2026-09-21T16:26:57.661;200;14;web2
2026-09-21T16:26:57.948;200;7;web1
2026-09-21T16:26:58.249;200;15;web2
2026-09-21T16:26:58.535;200;12;web1
2026-09-21T16:26:58.826;200;16;web2
2026-09-21T16:26:59.074;200;7;web1
2026-09-21T16:26:59.318;200;7;web2
2026-09-21T16:26:59.610;200;17;web1
2026-09-21T16:26:59.901;200;12;web2
2026-09-21T16:27:00.215;200;18;web2
2026-09-21T16:27:00.503;200;10;web1
2026-09-21T16:27:00.791;200;13;web2
2026-09-21T16:27:01.094;200;21;web1
2026-09-21T16:27:01.398;200;19;web2
2026-09-21T16:27:01.684;200;13;web1
2026-09-21T16:27:01.968;200;8;web2
2026-09-21T16:27:02.262;200;14;web1
2026-09-21T16:27:02.562;200;15;web2
2026-09-21T16:27:02.883;200;17;web1
2026-09-21T16:27:03.212;200;25;web2
2026-09-21T16:27:03.536;200;19;web1
2026-09-21T16:27:03.815;200;9;web2
2026-09-21T16:27:04.107;200;12;web1
2026-09-21T16:27:04.407;200;17;web2
2026-09-21T16:27:04.729;200;19;web1
2026-09-21T16:27:05.042;200;21;web2
2026-09-21T16:27:05.354;200;19;web1
