horodatage;code_http;duree_ms;serveur
2026-09-21T16:38:04.371;200;19;web1
2026-09-21T16:38:04.667;200;16;web2
2026-09-21T16:38:04.956;200;13;web1
2026-09-21T16:38:05.262;200;23;web2
2026-09-21T16:38:05.579;200;31;web1
2026-09-21T16:38:05.860;200;11;web2
2026-09-21T16:38:06.164;200;18;web1
2026-09-21T16:38:06.463;200;15;web2
2026-09-21T16:38:06.779;200;20;web1
2026-09-21T16:38:07.067;200;20;web2
2026-09-21T16:38:07.356;200;13;web1
2026-09-21T16:38:07.672;200;21;web2
2026-09-21T16:38:07.970;200;14;web1
2026-09-21T16:38:08.274;200;20;web2
2026-09-21T16:38:08.579;200;20;web1
2026-09-21T16:38:08.852;200;7;web2
2026-09-21T16:38:09.167;200;18;web1
2026-09-21T16:38:09.469;200;20;web2
2026-09-21T16:38:09.760;200;15;web1
2026-09-21T16:38:10.011;200;7;web2
2026-09-21T16:38:10.319;200;21;web1
2026-09-21T16:38:12.597;000;2000;?
2026-09-21T16:38:13.873;200;1031;web2
2026-09-21T16:38:14.152;200;10;web1
2026-09-21T16:38:14.448;200;10;web2
2026-09-21T16:38:14.736;200;15;web1
2026-09-21T16:38:15.020;200;11;web2
2026-09-21T16:38:15.320;200;19;web1
2026-09-21T16:38:15.580;200;5;web2
2026-09-21T16:38:15.831;200;7;web1
2026-09-21T16:38:16.107;200;13;web2
2026-09-21T16:38:16.389;200;8;web1
2026-09-21T16:38:16.672;200;11;web2
2026-09-21T16:38:16.960;200;12;web1
2026-09-21T16:38:17.256;200;15;web2
2026-09-21T16:38:17.553;200;16;web1
2026-09-21T16:38:17.843;200;12;web2
2026-09-21T16:38:18.154;200;17;web1
2026-09-21T16:38:18.430;200;7;web2
2026-09-21T16:38:18.721;200;14;web1
2026-09-21T16:38:19.016;200;15;web2
2026-09-21T16:38:19.309;200;17;web1
2026-09-21T16:38:19.606;200;15;web2
2026-09-21T16:38:19.885;200;6;web1
2026-09-21T16:38:20.196;200;18;web2
2026-09-21T16:38:20.492;200;17;web1
2026-09-21T16:38:20.787;200;17;web2
2026-09-21T16:38:21.079;200;13;web1
2026-09-21T16:38:21.370;200;12;web2
2026-09-21T16:38:21.657;200;12;web1
2026-09-21T16:38:21.964;200;17;web2
2026-09-21T16:38:22.241;200;8;web1
2026-09-21T16:38:22.511;200;6;web2
2026-09-21T16:38:22.798;200;14;web1
2026-09-21T16:38:23.080;200;10;web2
2026-09-21T16:38:23.362;200;11;web1
2026-09-21T16:38:23.656;200;11;web2
2026-09-21T16:38:23.944;200;15;web1
2026-09-21T16:38:24.243;200;21;web2
2026-09-21T16:38:24.535;200;13;web1
2026-09-21T16:38:24.823;200;9;web2
2026-09-21T16:38:25.136;200;26;web1
2026-09-21T16:38:25.431;200;13;web2
2026-09-21T16:38:25.706;200;7;web1
2026-09-21T16:38:26.000;200;16;web2
2026-09-21T16:38:26.267;200;13;web1
2026-09-21T16:38:26.540;200;13;web2
2026-09-21T16:38:26.809;200;8;web1
2026-09-21T16:38:27.074;200;5;web2
2026-09-21T16:38:27.301;200;4;web1
2026-09-21T16:38:27.568;200;12;web2
2026-09-21T16:38:27.828;200;5;web1
2026-09-21T16:38:28.125;200;16;web2
2026-09-21T16:38:28.424;200;16;web1
2026-09-21T16:38:28.708;200;12;web2
2026-09-21T16:38:28.991;200;8;web1
2026-09-21T16:38:29.241;200;7;web2
2026-09-21T16:38:29.517;200;13;web1
2026-09-21T16:38:29.823;200;20;web2
2026-09-21T16:38:30.132;200;18;web1
2026-09-21T16:38:30.432;200;17;web2
2026-09-21T16:38:30.739;200;18;web1
2026-09-21T16:38:31.012;200;8;web2
2026-09-21T16:38:31.306;200;16;web1
2026-09-21T16:38:31.595;200;15;web2
2026-09-21T16:38:31.904;200;17;web1
2026-09-21T16:38:32.203;200;17;web2
2026-09-21T16:38:32.499;200;16;web1
2026-09-21T16:38:32.791;200;13;web2
2026-09-21T16:38:33.085;200;17;web1
2026-09-21T16:38:33.384;200;15;web2
2026-09-21T16:38:33.670;200;16;web1
2026-09-21T16:38:33.967;200;14;web2
2026-09-21T16:38:34.262;200;16;web1
2026-09-21T16:38:34.552;200;15;web2
2026-09-21T16:38:34.852;200;18;web1
2026-09-21T16:38:35.147;200;16;web2
2026-09-21T16:38:35.445;200;18;web1
2026-09-21T16:38:35.745;200;15;web2
2026-09-21T16:38:36.039;200;19;web1
2026-09-21T16:38:36.331;200;15;web2
2026-09-21T16:38:36.630;200;16;web1
2026-09-21T16:38:36.924;200;15;web2
2026-09-21T16:38:37.208;200;14;web1
2026-09-21T16:38:37.504;200;15;web2
2026-09-21T16:38:37.802;200;17;web1
2026-09-21T16:38:38.110;200;17;web2
2026-09-21T16:38:38.351;200;7;web1
2026-09-21T16:38:38.632;200;14;web2
2026-09-21T16:38:38.942;200;19;web1
2026-09-21T16:38:39.216;200;13;web2
2026-09-21T16:38:39.534;200;17;web1
2026-09-21T16:38:39.854;200;24;web2
2026-09-21T16:38:40.152;200;16;web1
2026-09-21T16:38:40.464;200;17;web2
2026-09-21T16:38:40.745;200;13;web1
2026-09-21T16:38:41.052;200;20;web2
2026-09-21T16:38:41.360;200;16;web1
2026-09-21T16:38:41.663;200;12;web2
2026-09-21T16:38:41.988;200;12;web1
2026-09-21T16:38:42.301;200;18;web2
2026-09-21T16:38:42.616;200;18;web1
2026-09-21T16:38:42.922;200;16;web2
2026-09-21T16:38:43.225;200;16;web1
2026-09-21T16:38:43.521;200;16;web2
2026-09-21T16:38:43.817;200;19;web1
2026-09-21T16:38:44.114;200;18;web2
2026-09-21T16:38:44.409;200;14;web1
2026-09-21T16:38:44.705;200;17;web2
2026-09-21T16:38:44.999;200;16;web1
2026-09-21T16:38:45.294;200;16;web2
2026-09-21T16:38:45.585;200;16;web1
2026-09-21T16:38:45.875;200;13;web2
2026-09-21T16:38:46.171;200;16;web1
2026-09-21T16:38:46.471;200;19;web2
2026-09-21T16:38:46.774;200;22;web1
2026-09-21T16:38:47.066;200;15;web2
2026-09-21T16:38:47.367;200;15;web1
2026-09-21T16:38:47.662;200;15;web2
2026-09-21T16:38:47.976;200;20;web1
2026-09-21T16:38:48.269;200;15;web2
2026-09-21T16:38:48.560;200;15;web1
2026-09-21T16:38:48.861;200;15;web2
2026-09-21T16:38:49.158;200;16;web1
2026-09-21T16:38:49.462;200;15;web2
2026-09-21T16:38:49.764;200;18;web1
2026-09-21T16:38:50.065;200;15;web2
2026-09-21T16:38:50.364;200;17;web1
2026-09-21T16:38:50.660;200;16;web2
2026-09-21T16:38:50.955;200;14;web1
2026-09-21T16:38:51.251;200;15;web2
2026-09-21T16:38:51.550;200;17;web1
2026-09-21T16:38:51.848;200;18;web2
2026-09-21T16:38:52.143;200;20;web1
