horodatage;code_http;duree_ms;serveur
2026-09-21T16:35:55.760;200;16;web2
2026-09-21T16:35:56.015;200;10;web1
2026-09-21T16:35:56.290;200;8;web2
2026-09-21T16:35:56.586;200;14;web1
2026-09-21T16:35:56.871;200;8;web2
2026-09-21T16:35:57.115;200;8;web1
2026-09-21T16:35:57.408;200;15;web2
2026-09-21T16:35:57.698;200;15;web1
2026-09-21T16:35:58.000;200;19;web2
2026-09-21T16:35:58.274;200;11;web1
2026-09-21T16:35:58.559;200;16;web2
2026-09-21T16:35:58.850;200;8;web1
2026-09-21T16:35:59.128;200;6;web2
2026-09-21T16:35:59.438;200;19;web1
2026-09-21T16:35:59.717;200;6;web2
2026-09-21T16:36:00.026;200;20;web1
2026-09-21T16:36:00.328;200;18;web2
2026-09-21T16:36:00.626;200;21;web1
2026-09-21T16:36:00.941;200;18;web2
2026-09-21T16:36:01.192;200;9;web1
2026-09-21T16:36:01.493;200;15;web2
2026-09-21T16:36:01.790;200;16;web1
2026-09-21T16:36:02.107;200;18;web2
2026-09-21T16:36:02.403;200;13;web1
2026-09-21T16:36:02.713;200;18;web2
2026-09-21T16:36:03.010;200;17;web1
2026-09-21T16:36:03.305;200;15;web2
2026-09-21T16:36:03.600;200;12;web1
2026-09-21T16:36:03.884;200;10;web2
2026-09-21T16:36:04.172;200;13;web1
2026-09-21T16:36:04.446;200;7;web2
2026-09-21T16:36:06.699;000;2000;?
2026-09-21T16:36:08.006;200;1025;web2
2026-09-21T16:36:08.285;200;8;web1
2026-09-21T16:36:08.600;200;17;web2
2026-09-21T16:36:08.885;200;10;web1
2026-09-21T16:36:09.199;200;19;web2
2026-09-21T16:36:09.486;200;15;web1
2026-09-21T16:36:09.777;200;13;web2
2026-09-21T16:36:10.061;200;8;web1
2026-09-21T16:36:10.352;200;15;web2
2026-09-21T16:36:10.644;200;10;web1
2026-09-21T16:36:10.944;200;16;web2
2026-09-21T16:36:11.215;200;7;web1
2026-09-21T16:36:11.499;200;7;web2
2026-09-21T16:36:11.792;200;9;web1
2026-09-21T16:36:12.054;200;5;web2
2026-09-21T16:36:12.335;200;9;web1
2026-09-21T16:36:12.623;200;11;web2
2026-09-21T16:36:12.931;200;18;web1
2026-09-21T16:36:13.218;200;9;web2
2026-09-21T16:36:13.512;200;14;web1
2026-09-21T16:36:13.799;200;11;web2
2026-09-21T16:36:14.072;200;5;web1
2026-09-21T16:36:14.348;200;7;web2
2026-09-21T16:36:14.645;200;16;web1
2026-09-21T16:36:14.923;200;12;web2
2026-09-21T16:36:15.202;200;7;web1
2026-09-21T16:36:15.496;200;15;web2
2026-09-21T16:36:15.769;200;8;web1
2026-09-21T16:36:16.034;200;8;web2
2026-09-21T16:36:16.318;200;13;web1
