horodatage;code_http;duree_ms;serveur
2026-09-21T16:39:43.432;200;20;web1
2026-09-21T16:39:43.728;200;13;web2
2026-09-21T16:39:44.014;200;10;web1
2026-09-21T16:39:44.298;200;11;web2
2026-09-21T16:39:44.604;200;19;web1
2026-09-21T16:39:44.896;200;15;web2
2026-09-21T16:39:45.205;200;22;web1
2026-09-21T16:39:45.511;200;19;web2
2026-09-21T16:39:45.816;200;24;web1
2026-09-21T16:39:46.100;200;11;web2
2026-09-21T16:39:46.407;200;15;web1
2026-09-21T16:39:46.713;200;18;web2
2026-09-21T16:39:47.021;200;20;web1
2026-09-21T16:39:47.329;200;23;web2
2026-09-21T16:39:47.631;200;20;web1
2026-09-21T16:39:47.946;200;19;web2
2026-09-21T16:39:48.239;200;16;web1
2026-09-21T16:39:48.558;200;26;web2
2026-09-21T16:39:48.870;200;22;web1
2026-09-21T16:39:49.157;200;12;web2
2026-09-21T16:39:49.449;200;17;web1
2026-09-21T16:39:49.750;200;19;web2
2026-09-21T16:39:50.039;200;13;web1
2026-09-21T16:39:50.355;200;25;web2
2026-09-21T16:39:50.662;200;19;web1
2026-09-21T16:39:50.946;200;12;web2
2026-09-21T16:39:51.229;200;14;web1
2026-09-21T16:39:51.540;200;21;web2
2026-09-21T16:39:51.835;200;17;web1
2026-09-21T16:39:52.139;200;21;web2
2026-09-21T16:39:52.465;200;22;web1
2026-09-21T16:39:52.747;200;10;web2
2026-09-21T16:39:53.027;200;9;web1
2026-09-21T16:39:53.278;200;9;web2
2026-09-21T16:39:55.530;000;2000;?
2026-09-21T16:39:56.835;200;1026;web2
2026-09-21T16:39:57.145;200;18;web1
2026-09-21T16:39:57.438;200;14;web2
2026-09-21T16:39:57.712;200;7;web1
2026-09-21T16:39:58.017;200;17;web2
2026-09-21T16:39:58.294;200;14;web1
2026-09-21T16:39:58.582;200;6;web2
2026-09-21T16:39:58.868;200;9;web1
2026-09-21T16:39:59.166;200;12;web2
2026-09-21T16:39:59.476;200;19;web1
2026-09-21T16:39:59.769;200;15;web2
2026-09-21T16:40:00.079;200;16;web1
2026-09-21T16:40:00.344;200;4;web2
2026-09-21T16:40:00.642;200;15;web1
2026-09-21T16:40:00.937;200;11;web2
