horodatage;code_http;duree_ms;serveur
2026-09-21T16:25:16.384;200;15;web2
2026-09-21T16:25:16.682;200;12;web1
2026-09-21T16:25:16.974;200;9;web2
2026-09-21T16:25:17.271;200;17;web1
2026-09-21T16:25:17.594;200;18;web2
2026-09-21T16:25:17.883;200;11;web1
2026-09-21T16:25:18.176;200;15;web2
2026-09-21T16:25:18.474;200;18;web1
2026-09-21T16:25:18.758;200;14;web2
2026-09-21T16:25:19.071;200;20;web1
2026-09-21T16:25:19.356;200;9;web2
2026-09-21T16:25:19.647;200;15;web1
2026-09-21T16:25:19.931;200;8;web2
2026-09-21T16:25:20.251;200;20;web1
2026-09-21T16:25:20.556;200;19;web2
2026-09-21T16:25:20.864;200;15;web1
2026-09-21T16:25:21.160;200;15;web2
2026-09-21T16:25:21.486;200;21;web1
2026-09-21T16:25:21.789;200;15;web2
2026-09-21T16:25:22.081;200;10;web1
2026-09-21T16:25:22.334;200;8;web2
2026-09-21T16:25:22.635;200;22;web1
2026-09-21T16:25:22.941;200;19;web2
2026-09-21T16:25:23.243;200;15;web1
2026-09-21T16:25:23.547;200;16;web2
2026-09-21T16:25:23.838;200;10;web1
2026-09-21T16:25:24.134;200;14;web2
2026-09-21T16:25:24.428;200;16;web1
2026-09-21T16:25:24.714;200;14;web2
2026-09-21T16:25:25.018;200;14;web1
2026-09-21T16:25:25.329;200;21;web2
2026-09-21T16:25:25.630;200;14;web1
2026-09-21T16:25:25.933;200;15;web2
2026-09-21T16:25:26.242;200;22;web1
2026-09-21T16:25:26.566;200;24;web2
2026-09-21T16:25:26.876;200;21;web1
2026-09-21T16:25:27.197;200;21;web2
2026-09-21T16:25:28.504;200;1020;web1
2026-09-21T16:25:28.796;200;15;web2
2026-09-21T16:25:29.088;200;16;web1
2026-09-21T16:25:29.392;200;15;web2
2026-09-21T16:25:29.691;200;13;web1
2026-09-21T16:25:29.981;200;14;web2
2026-09-21T16:25:30.290;200;17;web1
2026-09-21T16:25:30.600;200;19;web2
2026-09-21T16:25:30.914;200;21;web1
2026-09-21T16:25:31.224;200;16;web2
2026-09-21T16:25:31.543;200;15;web1
2026-09-21T16:25:31.848;200;17;web2
2026-09-21T16:25:32.141;200;14;web1
2026-09-21T16:25:32.454;200;17;web2
2026-09-21T16:25:32.746;200;14;web1
2026-09-21T16:25:33.058;200;19;web2
2026-09-21T16:25:33.321;200;7;web1
2026-09-21T16:25:33.650;200;20;web2
2026-09-21T16:25:33.976;200;21;web1
2026-09-21T16:25:34.292;200;17;web2
2026-09-21T16:25:34.605;200;17;web1
2026-09-21T16:25:34.900;200;15;web2
2026-09-21T16:25:35.210;200;14;web1
2026-09-21T16:25:35.514;200;18;web2
2026-09-21T16:25:35.833;200;18;web1
2026-09-21T16:25:36.147;200;14;web2
2026-09-21T16:25:36.443;200;15;web1
2026-09-21T16:25:36.740;200;14;web2
2026-09-21T16:25:36.987;200;6;web1
2026-09-21T16:25:37.290;200;18;web2
2026-09-21T16:25:37.601;200;23;web1
2026-09-21T16:25:37.907;200;16;web2
2026-09-21T16:25:38.219;200;18;web1
2026-09-21T16:25:38.530;200;16;web2
2026-09-21T16:25:38.826;200;15;web1
2026-09-21T16:25:39.116;200;15;web2
2026-09-21T16:25:39.432;200;18;web1
2026-09-21T16:25:39.741;200;16;web2
2026-09-21T16:25:40.057;200;24;web1
2026-09-21T16:25:40.354;200;17;web2
2026-09-21T16:25:40.648;200;9;web1
2026-09-21T16:25:40.952;200;18;web2
2026-09-21T16:25:41.253;200;16;web1
2026-09-21T16:25:41.556;200;17;web2
2026-09-21T16:25:41.859;200;19;web1
2026-09-21T16:25:42.162;200;17;web2
2026-09-21T16:25:42.454;200;13;web1
2026-09-21T16:25:42.744;200;9;web2
2026-09-21T16:25:43.067;200;21;web1
2026-09-21T16:25:43.362;200;16;web2
2026-09-21T16:25:43.690;200;19;web1
2026-09-21T16:25:43.994;200;15;web2
2026-09-21T16:25:44.305;200;18;web1
2026-09-21T16:25:44.605;200;17;web2
2026-09-21T16:25:44.895;200;12;web1
2026-09-21T16:25:45.211;200;19;web2
2026-09-21T16:25:45.516;200;15;web1
2026-09-21T16:25:45.814;200;11;web2
2026-09-21T16:25:46.104;200;7;web1
2026-09-21T16:25:46.394;200;10;web2
2026-09-21T16:25:46.692;200;14;web1
2026-09-21T16:25:46.982;200;13;web2
2026-09-21T16:25:47.306;200;19;web1
2026-09-21T16:25:47.615;200;16;web2
2026-09-21T16:25:47.923;200;15;web1
2026-09-21T16:25:48.227;200;17;web2
2026-09-21T16:25:48.519;200;14;web1
2026-09-21T16:25:48.805;200;10;web2
2026-09-21T16:25:49.109;200;17;web1
2026-09-21T16:25:49.403;200;11;web2
2026-09-21T16:25:49.706;200;19;web1
2026-09-21T16:25:50.015;200;17;web2
2026-09-21T16:25:50.312;200;14;web1
2026-09-21T16:25:50.610;200;16;web2
2026-09-21T16:25:50.904;200;16;web1
2026-09-21T16:25:51.200;200;12;web2
2026-09-21T16:25:51.494;200;17;web1
2026-09-21T16:25:51.811;200;22;web2
2026-09-21T16:25:52.127;200;14;web1
2026-09-21T16:25:52.444;200;17;web2
2026-09-21T16:25:52.739;200;12;web1
2026-09-21T16:25:53.046;200;19;web2
2026-09-21T16:25:53.365;200;19;web1
2026-09-21T16:25:53.679;200;21;web2
2026-09-21T16:25:54.004;200;22;web1
2026-09-21T16:25:54.317;200;20;web2
2026-09-21T16:25:54.612;200;16;web1
2026-09-21T16:25:54.913;200;14;web2
2026-09-21T16:25:55.210;200;12;web1
2026-09-21T16:25:55.502;200;14;web2
2026-09-21T16:25:55.827;200;20;web1
2026-09-21T16:25:56.124;200;17;web2
2026-09-21T16:25:56.420;200;13;web1
2026-09-21T16:25:56.724;200;17;web2
2026-09-21T16:25:57.020;200;14;web1
2026-09-21T16:25:57.339;200;21;web2
2026-09-21T16:25:57.641;200;17;web1
2026-09-21T16:25:57.958;200;18;web2
2026-09-21T16:25:58.252;200;14;web1
2026-09-21T16:25:58.494;200;5;web2
2026-09-21T16:25:58.815;200;25;web1
2026-09-21T16:25:59.126;200;18;web2
2026-09-21T16:25:59.414;200;8;web1
2026-09-21T16:25:59.718;200;20;web2
2026-09-21T16:26:00.030;200;19;web1
2026-09-21T16:26:00.355;200;17;web2
2026-09-21T16:26:00.648;200;14;web1
2026-09-21T16:26:00.935;200;14;web2
